0.800000 ; -0.400000 
-0.960336 ; 0.703141 ; -0.145745 
-0.959540 ; 0.702558 ; -0.145624 
-0.958745 ; 0.701975 ; -0.145503 
-0.957950 ; 0.701393 ; -0.145382 
-0.957156 ; 0.700812 ; -0.145262 
-0.956362 ; 0.700231 ; -0.145141 
-0.955569 ; 0.699650 ; -0.145021 
-0.954777 ; 0.699070 ; -0.144900 
-0.953986 ; 0.698490 ; -0.144780 
-0.953195 ; 0.697911 ; -0.144660 
-0.952405 ; 0.697333 ; -0.144540 
-0.951615 ; 0.696754 ; -0.144420 
-0.950826 ; 0.696177 ; -0.144301 
-0.950038 ; 0.695599 ; -0.144181 
-0.949250 ; 0.695023 ; -0.144061 
-0.948463 ; 0.694446 ; -0.143942 
-0.947677 ; 0.693871 ; -0.143823 
-0.946891 ; 0.693295 ; -0.143703 
-0.946106 ; 0.692721 ; -0.143584 
-0.945322 ; 0.692146 ; -0.143465 
-0.944538 ; 0.691572 ; -0.143346 
-0.943755 ; 0.690999 ; -0.143227 
-0.942972 ; 0.690426 ; -0.143109 
-0.942191 ; 0.689854 ; -0.142990 
-0.941410 ; 0.689282 ; -0.142871 
-0.940629 ; 0.688710 ; -0.142753 
-0.939849 ; 0.688139 ; -0.142634 
-0.939070 ; 0.687569 ; -0.142516 
-0.938291 ; 0.686999 ; -0.142398 
-0.937513 ; 0.686429 ; -0.142280 
-0.936736 ; 0.685860 ; -0.142162 
-0.935959 ; 0.685291 ; -0.142044 
-0.935184 ; 0.684723 ; -0.141926 
-0.934408 ; 0.684155 ; -0.141809 
-0.933633 ; 0.683588 ; -0.141691 
-0.932859 ; 0.683021 ; -0.141574 
-0.932086 ; 0.682455 ; -0.141456 
-0.931313 ; 0.681889 ; -0.141339 
-0.930541 ; 0.681324 ; -0.141222 
-0.929769 ; 0.680759 ; -0.141105 
-0.928999 ; 0.680195 ; -0.140988 
-0.928228 ; 0.679631 ; -0.140871 
-0.927459 ; 0.679067 ; -0.140754 
-0.926690 ; 0.678504 ; -0.140637 
-0.925922 ; 0.677942 ; -0.140521 
-0.925154 ; 0.677380 ; -0.140404 
-0.924387 ; 0.676818 ; -0.140288 
-0.923620 ; 0.676257 ; -0.140171 
-0.922855 ; 0.675696 ; -0.140055 
-0.922089 ; 0.675136 ; -0.139939 
-0.921325 ; 0.674576 ; -0.139823 
-0.920561 ; 0.674017 ; -0.139707 
-0.919798 ; 0.673458 ; -0.139591 
-0.919035 ; 0.672900 ; -0.139476 
-0.918273 ; 0.672342 ; -0.139360 
-0.917512 ; 0.671784 ; -0.139244 
-0.916751 ; 0.671227 ; -0.139129 
-0.915991 ; 0.670671 ; -0.139014 
-0.915232 ; 0.670115 ; -0.138898 
-0.914473 ; 0.669559 ; -0.138783 
-0.913715 ; 0.669004 ; -0.138668 
-0.912957 ; 0.668449 ; -0.138553 
-0.912200 ; 0.667895 ; -0.138438 
-0.911444 ; 0.667341 ; -0.138324 
-0.910688 ; 0.666788 ; -0.138209 
-0.909933 ; 0.666235 ; -0.138094 
-0.909179 ; 0.665683 ; -0.137980 
-0.908425 ; 0.665131 ; -0.137865 
-0.907672 ; 0.664579 ; -0.137751 
-0.906919 ; 0.664028 ; -0.137637 
-0.906167 ; 0.663478 ; -0.137523 
-0.905416 ; 0.662928 ; -0.137409 
-0.904665 ; 0.662378 ; -0.137295 
-0.903915 ; 0.661829 ; -0.137181 
-0.903166 ; 0.661280 ; -0.137067 
-0.902417 ; 0.660732 ; -0.136954 
-0.901669 ; 0.660184 ; -0.136840 
-0.900921 ; 0.659637 ; -0.136727 
-0.900174 ; 0.659090 ; -0.136613 
-0.899428 ; 0.658543 ; -0.136500 
-0.898682 ; 0.657997 ; -0.136387 
-0.897937 ; 0.657452 ; -0.136274 
-0.897193 ; 0.656907 ; -0.136161 
-0.896449 ; 0.656362 ; -0.136048 
-0.895706 ; 0.655818 ; -0.135935 
-0.894963 ; 0.655274 ; -0.135822 
-0.894221 ; 0.654731 ; -0.135710 
-0.893479 ; 0.654188 ; -0.135597 
-0.892739 ; 0.653646 ; -0.135485 
-0.891999 ; 0.653104 ; -0.135372 
-0.891259 ; 0.652562 ; -0.135260 
-0.890520 ; 0.652021 ; -0.135148 
-0.889782 ; 0.651481 ; -0.135036 
-0.889044 ; 0.650941 ; -0.134924 
-0.888307 ; 0.650401 ; -0.134812 
-0.887570 ; 0.649862 ; -0.134700 
-0.886834 ; 0.649323 ; -0.134589 
-0.886099 ; 0.648784 ; -0.134477 
-0.885365 ; 0.648247 ; -0.134366 
-0.884630 ; 0.647709 ; -0.134254 
-0.883897 ; 0.647172 ; -0.134143 
-0.883164 ; 0.646635 ; -0.134032 
-0.882432 ; 0.646099 ; -0.133921 
-0.881700 ; 0.645564 ; -0.133810 
-0.880969 ; 0.645028 ; -0.133699 
-0.880239 ; 0.644494 ; -0.133588 
-0.879509 ; 0.643959 ; -0.133477 
-0.878780 ; 0.643425 ; -0.133366 
-0.878051 ; 0.642892 ; -0.133256 
-0.877323 ; 0.642359 ; -0.133145 
-0.876596 ; 0.641826 ; -0.133035 
-0.875869 ; 0.641294 ; -0.132925 
-0.875143 ; 0.640762 ; -0.132814 
-0.874417 ; 0.640231 ; -0.132704 
-0.873692 ; 0.639700 ; -0.132594 
-0.872968 ; 0.639170 ; -0.132484 
-0.872244 ; 0.638640 ; -0.132374 
-0.871521 ; 0.638111 ; -0.132265 
-0.870798 ; 0.637582 ; -0.132155 
-0.870076 ; 0.637053 ; -0.132045 
-0.869355 ; 0.636525 ; -0.131936 
-0.868634 ; 0.635997 ; -0.131827 
-0.867914 ; 0.635470 ; -0.131717 
-0.867195 ; 0.634943 ; -0.131608 
-0.866476 ; 0.634416 ; -0.131499 
-0.865757 ; 0.633890 ; -0.131390 
-0.865039 ; 0.633365 ; -0.131281 
-0.864322 ; 0.632840 ; -0.131172 
-0.863606 ; 0.632315 ; -0.131063 
-0.862889 ; 0.631791 ; -0.130955 
-0.862174 ; 0.631267 ; -0.130846 
-0.861459 ; 0.630744 ; -0.130738 
-0.860745 ; 0.630221 ; -0.130629 
-0.860031 ; 0.629698 ; -0.130521 
-0.859318 ; 0.629176 ; -0.130413 
-0.858606 ; 0.628654 ; -0.130305 
-0.857894 ; 0.628133 ; -0.130197 
-0.857183 ; 0.627612 ; -0.130089 
-0.856472 ; 0.627092 ; -0.129981 
-0.855762 ; 0.626572 ; -0.129873 
-0.855052 ; 0.626053 ; -0.129765 
-0.854343 ; 0.625534 ; -0.129658 
-0.853635 ; 0.625015 ; -0.129550 
-0.852927 ; 0.624497 ; -0.129443 
-0.852220 ; 0.623979 ; -0.129336 
-0.851514 ; 0.623462 ; -0.129228 
-0.850808 ; 0.622945 ; -0.129121 
-0.850102 ; 0.622428 ; -0.129014 
-0.849397 ; 0.621912 ; -0.128907 
-0.848693 ; 0.621396 ; -0.128800 
-0.847990 ; 0.620881 ; -0.128693 
-0.847286 ; 0.620367 ; -0.128587 
-0.846584 ; 0.619852 ; -0.128480 
-0.845882 ; 0.619338 ; -0.128374 
-0.845181 ; 0.618825 ; -0.128267 
-0.844480 ; 0.618312 ; -0.128161 
-0.843780 ; 0.617799 ; -0.128055 
-0.843080 ; 0.617287 ; -0.127948 
-0.842381 ; 0.616775 ; -0.127842 
-0.841683 ; 0.616264 ; -0.127736 
-0.840985 ; 0.615753 ; -0.127630 
-0.840288 ; 0.615242 ; -0.127525 
-0.839591 ; 0.614732 ; -0.127419 
-0.838895 ; 0.614222 ; -0.127313 
-0.838199 ; 0.613713 ; -0.127208 
-0.837504 ; 0.613204 ; -0.127102 
-0.836810 ; 0.612696 ; -0.126997 
-0.836116 ; 0.612188 ; -0.126892 
-0.835423 ; 0.611680 ; -0.126786 
-0.834730 ; 0.611173 ; -0.126681 
-0.834038 ; 0.610667 ; -0.126576 
-0.833347 ; 0.610160 ; -0.126471 
-0.832656 ; 0.609654 ; -0.126366 
-0.831966 ; 0.609149 ; -0.126262 
-0.831276 ; 0.608644 ; -0.126157 
-0.830587 ; 0.608139 ; -0.126052 
-0.829898 ; 0.607635 ; -0.125948 
-0.829210 ; 0.607131 ; -0.125843 
-0.828522 ; 0.606628 ; -0.125739 
-0.827835 ; 0.606125 ; -0.125635 
-0.827149 ; 0.605622 ; -0.125531 
-0.826463 ; 0.605120 ; -0.125427 
-0.825778 ; 0.604618 ; -0.125323 
-0.825093 ; 0.604117 ; -0.125219 
-0.824409 ; 0.603616 ; -0.125115 
-0.823726 ; 0.603116 ; -0.125011 
-0.823043 ; 0.602616 ; -0.124907 
-0.822360 ; 0.602116 ; -0.124804 
-0.821679 ; 0.601617 ; -0.124700 
-0.820997 ; 0.601118 ; -0.124597 
-0.820317 ; 0.600620 ; -0.124494 
-0.819637 ; 0.600122 ; -0.124391 
-0.818957 ; 0.599624 ; -0.124287 
-0.818278 ; 0.599127 ; -0.124184 
-0.817600 ; 0.598630 ; -0.124081 
-0.816922 ; 0.598134 ; -0.123979 
-0.816244 ; 0.597638 ; -0.123876 
-0.815568 ; 0.597143 ; -0.123773 
-0.814891 ; 0.596648 ; -0.123670 
-0.814216 ; 0.596153 ; -0.123568 
-0.813541 ; 0.595659 ; -0.123465 
-0.812866 ; 0.595165 ; -0.123363 
-0.812192 ; 0.594671 ; -0.123261 
-0.811519 ; 0.594178 ; -0.123159 
-0.810846 ; 0.593686 ; -0.123056 
-0.810174 ; 0.593193 ; -0.122954 
-0.809502 ; 0.592702 ; -0.122852 
-0.808831 ; 0.592210 ; -0.122751 
-0.808160 ; 0.591719 ; -0.122649 
-0.807490 ; 0.591229 ; -0.122547 
